:END_ID(strain_id),:START_ID(pathogen_taxonomy_id),:TYPE
China/Shanghai/SH0080,2697049,HAS
China/Shanghai/SH0081,2697049,HAS
China/Shanghai/SH0083,2697049,HAS
China/Shanghai/SH0085,2697049,HAS
China/Shanghai/SH0086,2697049,HAS
China/Shanghai/SH0088,2697049,HAS
China/Shanghai/SH0091,2697049,HAS
China/Shanghai/SH0093,2697049,HAS
China/Shanghai/SH0094,2697049,HAS
China/Shanghai/SH0098,2697049,HAS
China/Shanghai/SH0100,2697049,HAS
China/Shanghai/SH0101,2697049,HAS
China/Shanghai/SH0102,2697049,HAS
China/Shanghai/SH0104,2697049,HAS
China/Shanghai/SH0106,2697049,HAS
China/Shanghai/SH0107,2697049,HAS
China/Shanghai/SH0109,2697049,HAS
China/Shanghai/SH0110,2697049,HAS
China/Shanghai/SH0112,2697049,HAS
China/Shanghai/SH0114,2697049,HAS
China/Shanghai/SH0115,2697049,HAS
China/Shanghai/SH0117,2697049,HAS
China/Shanghai/SH0119,2697049,HAS
China/Shanghai/SH0121,2697049,HAS
China/Shanghai/SH0125,2697049,HAS
China/Shanghai/SH0126,2697049,HAS
China/Shanghai/SH0127,2697049,HAS
China/Shanghai/SH0128,2697049,HAS
China/WF0001/2020,2697049,HAS
China/WF0002/2020,2697049,HAS
China/WF0003/2020,2697049,HAS
China/WF0004/2020,2697049,HAS
China/WF0006/2020,2697049,HAS
China/WF0009/2020,2697049,HAS
China/WF0012/2020,2697049,HAS
China/WF0014/2020,2697049,HAS
China/WF0015/2020,2697049,HAS
China/WF0016/2020,2697049,HAS
China/WF0017/2020,2697049,HAS
China/WF0018/2020,2697049,HAS
China/WF0019/2020,2697049,HAS
China/WF0020/2020,2697049,HAS
China/WF0021/2020,2697049,HAS
China/WF0023/2020,2697049,HAS
China/WF0024/2020,2697049,HAS
China/WF0026/2020,2697049,HAS
China/WF0028/2020,2697049,HAS
China/WF0029/2020,2697049,HAS
China/WH-09/2020,2697049,HAS
China/WHU01/2020,2697049,HAS
China/WHU02/2020,2697049,HAS
Chongqing/IVDC-CQ-001/2020,2697049,HAS
Chongqing/YC01/2020,2697049,HAS
Chongqing/ZX01/2020,2697049,HAS
Congo/KN-13/2020,2697049,HAS
CzechRepublic/951/2020,2697049,HAS
Denmark/SSI-05/2020,2697049,HAS
Denmark/SSI-09/2020,2697049,HAS
Denmark/SSI-101/2020,2697049,HAS
Denmark/SSI-102/2020,2697049,HAS
Denmark/SSI-104/2020,2697049,HAS
England/01/2020,2697049,HAS
England/02/2020,2697049,HAS
England/09c/2020,2697049,HAS
England/200641094/2020,2697049,HAS
England/200690245/2020,2697049,HAS
England/200690300/2020,2697049,HAS
England/200690306/2020,2697049,HAS
England/200690756/2020,2697049,HAS
England/200940527/2020,2697049,HAS
England/200960041/2020,2697049,HAS
England/200960515/2020,2697049,HAS
England/200981386/2020,2697049,HAS
England/200990002/2020,2697049,HAS
England/200990006/2020,2697049,HAS
England/20099038206/2020,2697049,HAS
England/200990660/2020,2697049,HAS
England/200990723/2020,2697049,HAS
England/200990724/2020,2697049,HAS
England/200990725/2020,2697049,HAS
England/20099079106/2020,2697049,HAS
England/20099107406/2020,2697049,HAS
England/200991076/2020,2697049,HAS
England/201000003/2020,2697049,HAS
England/20100001406/2020,2697049,HAS
England/20100004706/2020,2697049,HAS
England/20100004806/2020,2697049,HAS
England/20100005406/2020,2697049,HAS
England/20100022706/2020,2697049,HAS
England/20100023206/2020,2697049,HAS
England/20100024006/2020,2697049,HAS
England/20100077906/2020,2697049,HAS
England/20100121006/2020,2697049,HAS
England/20100121007/2020,2697049,HAS
England/20100122106/2020,2697049,HAS
England/20100122107/2020,2697049,HAS
England/20102000106/2020,2697049,HAS
England/20102000206/2020,2697049,HAS
England/20102000306/2020,2697049,HAS
England/20102000506/2020,2697049,HAS
England/20102000906/2020,2697049,HAS
England/20102068506/2020,2697049,HAS
England/201040081/2020,2697049,HAS
England/201040141/2020,2697049,HAS
England/20110003506/2020,2697049,HAS
England/Sheff01/2020,2697049,HAS
England/Sheff02/2020,2697049,HAS
Finland/1/2020,2697049,HAS
Finland/FIN-114/2020,2697049,HAS
Finland/FIN-25/2020,2697049,HAS
Finland/FIN-266/2020,2697049,HAS
