:START_ID(host_id),:END_ID(strain_admin2),:TYPE
Germany/NRW-01/2020,Heinsberg District,LOCATED_IN
Germany/NRW-02-1/2020,Heinsberg District,LOCATED_IN
Germany/NRW-03/2020,Heinsberg District,LOCATED_IN
Germany/NRW-04/2020,Heinsberg District,LOCATED_IN
Germany/NRW-05/2020,Heinsberg District,LOCATED_IN
Germany/NRW-06/2020,Heinsberg District,LOCATED_IN
Germany/NRW-07/2020,Heinsberg District,LOCATED_IN
Germany/NRW-08/2020,Heinsberg District,LOCATED_IN
Germany/NRW-09/2020,Heinsberg District,LOCATED_IN
Germany/NRW-10/2020,Heinsberg District,LOCATED_IN
USA/CA-CDPH-UC1/2020,Sonoma County,LOCATED_IN
USA/CA-CDPH-UC2/2020,Solano County,LOCATED_IN
USA/CA-CDPH-UC3/2020,Solano County,LOCATED_IN
USA/CA-CDPH-UC4/2020,Solano County,LOCATED_IN
USA/CA-MG0987/2020,San Diego County,LOCATED_IN
USA/CA-PC101P/2020,San Diego County,LOCATED_IN
USA/CA2/2020,Orange County,LOCATED_IN
USA/CA9/2020,Solano County,LOCATED_IN
USA/NY-NYUMC1/2020,Nassau County,LOCATED_IN
USA/WA-S10/2020,King County,LOCATED_IN
USA/WA-S11/2020,King County,LOCATED_IN
USA/WA-S2/2020,King County,LOCATED_IN
USA/WA-S4/2020,King County,LOCATED_IN
USA/WA-S5/2020,King County,LOCATED_IN
USA/WA-S6/2020,King County,LOCATED_IN
USA/WA-S8/2020,King County,LOCATED_IN
USA/WA-S9/2020,Snohomish County,LOCATED_IN
USA/WA-UW22/2020,King County,LOCATED_IN
USA/WA-UW23/2020,Pierce County,LOCATED_IN
USA/WA-UW24/2020,King County,LOCATED_IN
USA/WA-UW25/2020,King County,LOCATED_IN
USA/WA-UW26/2020,King County,LOCATED_IN
USA/WA-UW27/2020,King County,LOCATED_IN
USA/WA-UW28/2020,King County,LOCATED_IN
USA/WA1/2020,Snohomish County,LOCATED_IN
USA/WA2/2020,Snohomish County,LOCATED_IN
USA/WI2/2020,Dane County,LOCATED_IN
