:START_ID(strain_id),:END_ID(strain_city),:TYPE
Wuhan/IVDC-HB-01/2019,Wuhan,FOUND_IN
Wuhan/IVDC-HB-04/2020,Wuhan,FOUND_IN
Wuhan/IVDC-HB-05/2019,Wuhan,FOUND_IN
Wuhan/IVDC-HB-envF13-20/2020,Wuhan,FOUND_IN
Wuhan/IVDC-HB-envF13-21/2020,Wuhan,FOUND_IN
Wuhan/IVDC-HB-envF13/2020,Wuhan,FOUND_IN
Wuhan/IVDC-HB-envF54/2020,Wuhan,FOUND_IN
Wuhan/WH01/2019,Wuhan,FOUND_IN
Wuhan/WH02/2019,Wuhan,FOUND_IN
Wuhan/WH03/2020,Wuhan,FOUND_IN
Wuhan/WH04/2020,Wuhan,FOUND_IN
Wuhan/WH05/2020,Wuhan,FOUND_IN
Wuhan/WIV02/2019,Wuhan,FOUND_IN
Wuhan/WIV04/2019,Wuhan,FOUND_IN
Wuhan/WIV05/2019,Wuhan,FOUND_IN
Wuhan/WIV06/2019,Wuhan,FOUND_IN
Wuhan/WIV07/2019,Wuhan,FOUND_IN
Yunnan/IVDC-YN-003/2020,Kunming,FOUND_IN
Zhejiang/WZ-01/2020,Hangzhou,FOUND_IN
Zhejiang/WZ-02/2020,Hangzhou,FOUND_IN
bat/Yunnan/RaTG13/2013,Pu'er,FOUND_IN
