CT,SRA,MSA
17200,13,1
17303,40,4
17304,40,4
17305,40,4
17306,40,4
17401,40,4
17403,40,4
17404,40,4
17501,40,4
17502,40,4
17601,40,4
17603,40,4
17604,40,4
17701,40,4
17702,40,4
17801,41,4
17808,41,4
17809,41,4
17810,41,4
17811,41,4
17813,41,4
17900,41,4
18000,41,4
18100,42,4
18200,42,4
18300,42,4
18400,42,4
18504,42,4
18507,42,4
18509,42,4
18510,42,4
18511,42,4
18512,42,4
18513,42,4
18514,42,4
18515,42,4
18516,42,4
18517,42,4
18518,42,4
18519,42,4
18601,42,4
18603,42,4
18608,42,4
18609,42,4
18610,42,4
18611,42,4
18612,42,4
18613,42,4
18614,42,4
18700,43,4
18801,55,5
18802,55,5
18803,55,5
18903,55,5
18904,55,5
18905,55,5
18906,55,5
19001,55,5
19002,55,5
19101,54,5
19103,53,5
19105,53,5
19106,53,5
19107,53,5
19203,52,5
19205,52,5
19206,52,5
19207,52,5
19208,52,5
19301,42,4
19302,42,4
19303,42,4
19403,52,5
19404,52,5
19405,52,5
19406,52,5
19501,52,5
19502,52,5
19503,52,5
19601,52,5
19602,52,5
19701,52,5
19702,52,5
19803,41,4
19804,41,4
19805,41,4
19806,41,4
19808,41,4
19809,41,4
19902,52,5
19903,52,5
19904,52,5
19905,52,5
20013,41,4
20014,41,4
20015,41,4
20016,41,4
20017,51,5
20018,51,5
20019,51,5
20020,51,5
20021,51,5
20022,51,5
20023,51,5
20024,51,5
20025,51,5
20026,51,5
20027,51,5
20028,51,5
20029,51,5
20103,50,5
20105,50,5
20106,50,5
20107,50,5
20108,50,5
20109,50,5
20202,50,5
20206,50,5
20207,50,5
20208,50,5
20209,50,5
20210,50,5
20211,50,5
20213,50,5
20214,50,5
20304,51,5
20305,51,5
20306,50,5
20307,50,5
20308,50,5
20309,50,5
20401,50,5
20403,50,5
20404,50,5
20405,50,5
20500,50,5
20601,50,5
20602,50,5
20705,50,5
20706,50,5
20707,50,5
20708,50,5
20709,50,5
20710,50,5
20801,39,3
20805,39,3
20806,39,3
20807,39,3
20809,39,3
20810,39,3
20811,39,3
20902,61,6
20903,60,6
20904,60,6
21000,63,6
21100,62,6
21202,61,6
21204,38,3
21205,38,3
21206,38,3
21302,30,3
21303,30,3
21304,30,3
21400,2,0
21500,13,1
21600,3,0
21800,3,0
21900,4,0
22000,4,0
22100,41,4
